INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6
Faulkner University,Montgomery,AL,3,2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2358,0.3919,0.5254,0.0178,0.0047,0.0064,0.0034,0.0119,0.0191,0.0195,0.2354,NULL,17660,0.5816,0.5,NULL,0.4348,NULL,0.7427,0.4589,23750,263.6736875,0.563029397,0.270732323,NULL,37600,0.612365067
Gadsden State Community College,Gadsden,AL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,0.019,0.0135,0.0378,0.4345,4565,NULL,0.6,NULL,0.5589,NULL,0.3865,0,0.3733,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.210752778,26900,0.38632378
New Beginning College of Cosmetology,Albertville,AL,1,3,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,89,0.9326,0.0337,0.0337,0,0,0,0,0,0,0,NULL,9476,0.4898,NULL,0.8636,NULL,NULL,0.4422,0.3933,9490,105.3584545,NULL,NULL,0.945962162,NULL,NULL
George C Wallace State Community College-Dothan,Dothan,AL,2,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,0.0128,0,0.0002,0.4675,2681,NULL,0.5548,NULL,0.5597,NULL,0.4627,0,0.392,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.260445321,27100,0.405150205
George C Wallace State Community College-Hanceville,Hanceville,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0,0.0069,0.0194,0.4052,6628,NULL,0.5017,NULL,0.6368,NULL,0.5414,0.4174,0.3229,11330,125.7862265,0.606629393,NULL,0.310233833,27800,0.512655079
George C Wallace State Community College-Selma,Selma,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,0.0044,0.0006,0.0006,0.3348,8712,NULL,0.7687,NULL,0.5312,NULL,0.2727,0,0.3318,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.280347196,24400,0.363136172
Herzing University-Birmingham,Birmingham,AL,1,3,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,318,0.3491,0.5881,0.0063,0.0094,0,0,0.0314,0,0.0157,0.4969,NULL,22518,0.6373,0.5,NULL,NULL,NULL,0.7153,0.7813,22822,253.3709851,0.474266474,0.323541176,NULL,42300,0.596551716
Huntingdon College,Montgomery,AL,3,2,12,460,480,NULL,22,22,20,NULL,999,0,1100,0.5845,0.1918,0.02,0.0091,0.0064,0.0018,0.0273,0.0027,0.1564,0.1836,NULL,17864,0.4302,0.6196,NULL,NULL,NULL,0.7227,0.1937,27000,299.75535,0.781431335,0.447984076,NULL,37100,0.616858244
Heritage Christian University,Florence,AL,3,2,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,67,0.7313,0.1194,0.0448,0,0,0.0149,0.0149,0.0299,0.0448,0.5224,NULL,9346,0.4839,1,NULL,0,NULL,0.4839,0.5942,PrivacySuppressed,PrivacySuppressed,0.511627907,PrivacySuppressed,NULL,32700,PrivacySuppressed
J F Drake State Community and Technical College,Huntsville,AL,1,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1040,0.3096,0.6231,0.025,0.0048,0.0067,0.0029,0.0202,0.0019,0.0058,0.3894,7163,NULL,0.5873,NULL,0.4228,NULL,0.2059,0,0.4555,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.244616547,23500,0.364864856
Jacksonville State University,Jacksonville,AL,3,1,13,485,480,NULL,23,22,21,NULL,1036,0,7195,0.6655,0.2628,0.0133,0.0053,0.0058,0.0006,0,0.0221,0.0246,0.2128,16078,NULL,0.4613,0.7112,NULL,0.3,NULL,0.6811,0.22,23500,260.898175,0.627607888,0.297699661,NULL,35100,0.546616971
Jefferson Davis Community College,Brewton,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1037,0.5853,0.297,0.0116,0.0183,0.0289,0,0.0135,0,0.0453,0.4089,3796,NULL,0.5283,NULL,0.5182,NULL,0.4565,0,0.406,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.356118919,27200,0.417302787
Jefferson State Community College,Birmingham,AL,2,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,7494,0.6894,0.2171,0.0388,0.0169,0.0031,0.0008,0.0259,0.0079,0.0001,0.6182,8799,NULL,0.3579,NULL,0.5235,NULL,0.4415,0.2323,0.3671,10000,111.0205,0.622807018,NULL,0.16483655,30300,0.493239284
John C Calhoun State Community College,Tanner,AL,2,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,9970,0.6627,0.1949,0.0396,0.0191,0.0195,0.0008,0.0363,0.004,0.0232,0.5785,5278,NULL,0.4032,NULL,0.5749,NULL,0.468,0.2773,0.3688,9940,110.354377,0.543043812,NULL,0.156614362,27200,0.464605749
Judson College,Marion,AL,3,2,43,595,550,570,22,23,20,NULL,1023,0,331,0.7915,0.145,0.0151,0.0091,0.003,0,0.006,0.0091,0.0211,0.2115,NULL,17243,0.4788,0.5974,NULL,NULL,NULL,0.711,0.2622,PrivacySuppressed,PrivacySuppressed,0.718120805,0.390415068,NULL,30700,0.373831779
Lawson State Community College-Birmingham Campus,Birmingham,AL,1,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2894,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,0.0083,0.001,0.0729,0.3825,7406,NULL,0.6821,NULL,0.5251,NULL,0.2403,0,0.4089,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.187934947,22300,0.363099635
University of West Alabama,Livingston,AL,3,1,43,NULL,NULL,NULL,20,19,20,NULL,950,0,1988,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,0.0091,0.0473,0.0589,0.1479,13221,NULL,0.5604,0.5781,NULL,0.5385,NULL,0.7193,0.1786,22500,249.796125,0.543230016,0.330417768,NULL,33800,0.566546738
Lurleen B Wallace Community College,Andalusia,AL,1,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1372,0.7259,0.2493,0.0087,0.0058,0.0022,0,0.0051,0.0007,0.0022,0.2937,8041,NULL,0.5753,NULL,0.5702,NULL,0.3488,0,0.2503,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.261864826,28000,0.407407403
Marion Military Institute,Marion,AL,2,1,43,525,530,NULL,22,21,22,NULL,1040,0,411,0.5766,0.2287,0.1022,0.0365,0.0122,0.0049,0.0292,0,0.0097,0,11013,NULL,0.4424,NULL,0.3811,NULL,NULL,0.6257,0.0048,11500,127.673575,0.606217617,NULL,0.283014723,48500,0.531531513
Miles College,Fairfield,AL,3,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1663,0.018,0.9693,0.0054,0,0,0.0006,0.0066,0,0,0.0523,NULL,15217,0.8227,0.5476,NULL,0.25,NULL,0.9184,0.1657,36569,405.9908665,0.216788916,0.189705012,NULL,27200,0.362565458
University of Mobile,Mobile,AL,3,2,41,540,575,NULL,23,24,21,NULL,1058,0,1472,0.6461,0.216,0.0122,0.0095,0.0163,0.0007,0.017,0.0306,0.0516,0.1461,NULL,17970,0.5032,0.7727,NULL,0,NULL,0.8009,0.2782,27000,299.75535,0.755856967,0.457751174,NULL,37800,0.558441579
University of Montevallo,Montevallo,AL,3,1,21,554,508,510,23,25,21,NULL,1070,0,2610,0.7368,0.1398,0.023,0.0065,0.0069,0.0011,0.018,0.0134,0.0544,0.1004,15003,NULL,0.4136,0.7365,NULL,0.6923,NULL,0.5872,0.1203,23400,259.78797,0.771186441,0.459535962,NULL,35100,0.529411793
Northwest-Shoals Community College,Muscle Shoals,AL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3235,0.8195,0.127,0.0343,0.0031,0.0065,0.0009,0.0071,0,0.0015,0.4331,4678,NULL,0.5233,NULL,0.5263,NULL,0.3116,0.2559,0.2605,11500,127.673575,0.509727626,NULL,0.203530533,26300,0.395963818
University of North Alabama,Florence,AL,3,1,13,489,482,NULL,22,20,22,NULL,1028,0,5536,0.715,0.1384,0.0246,0.0038,0.0112,0.0011,0.0208,0.0495,0.0358,0.1358,11476,NULL,0.4192,0.7079,NULL,0.3333,NULL,0.6883,0.1503,21750,241.4695875,0.687901008,0.322248727,NULL,36300,0.56070286
Northeast Alabama Community College,Rainsville,AL,2,1,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2376,0.8885,0.0181,0.0526,0.0055,0.0295,0,0.0034,0.0021,0.0004,0.3973,2544,NULL,0.628,NULL,0.6142,NULL,0.4818,0,0.277,5100,56.620455,0.608823529,NULL,0.318402564,28700,0.427455366
Oakwood University,Huntsville,AL,3,2,12,462,455,NULL,20,20,19,NULL,924,0,1854,0.0102,0.8495,0.0237,0.0016,0.0038,0,0,0.082,0.0291,0.0453,NULL,26954,0.5066,0.7876,NULL,NULL,NULL,0.7411,0.1472,30500,338.612525,0.439215686,0.371902479,NULL,33700,0.421787709
Alabama Southern Community College,Monroeville,AL,2,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1218,0.5452,0.4187,0.0074,0.0057,0.0131,0,0.0016,0.0008,0.0074,0.2726,4998,NULL,0.5602,NULL,0.5675,NULL,0.5455,0,0.1942,NULL,NULL,NULL,NULL,0.315534351,23200,0.348623842
Prince Institute-Southeast,Montgomery,AL,2,3,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,102,0.6667,0.2745,0.0294,0.0098,0,0,0,0,0.0196,0,NULL,20904,0.6446,NULL,0.8333,NULL,NULL,0.8678,0.6569,21739,241.347465,0.702702703,NULL,PrivacySuppressed,29000,PrivacySuppressed
Reid State Technical College,Evergreen,AL,1,1,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,414,0.471,0.4928,0.0121,0.0024,0.0145,0.0048,0.0024,0,0,0.372,4912,NULL,0.701,NULL,0.4881,NULL,0.4,0,0.4081,NULL,NULL,NULL,NULL,0.457968702,20100,0.380813956
Bishop State Community College,Mobile,AL,2,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3363,0.2551,0.672,0.0152,0.0149,0.0077,0.0015,0.0095,0.0214,0.0027,0.3547,5145,NULL,0.6352,NULL,0.4122,NULL,0.2919,0,0.3966,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.218287989,22600,0.332718313
Samford University,Birmingham,AL,3,2,21,565,560,555,26,27,24,NULL,1153,0,2995,0.8114,0.0664,0.0664,0.008,0.003,0.0007,0.01,0.0304,0.0037,0.0504,NULL,24093,0.1494,0.8673,NULL,1,NULL,0.3653,0.0601,23236,257.9672338,0.915360502,0.702598672,NULL,45800,0.720353961
Selma University,Selma,AL,3,2,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,447,0.0336,0.9664,0,0,0,0,0,0,0,0.2841,NULL,8427,0.75,0.4202,NULL,0.1765,NULL,0.7679,0.5017,PrivacySuppressed,PrivacySuppressed,0.157894737,0.395748338,NULL,NULL,PrivacySuppressed
Shelton State Community College,Tuscaloosa,AL,2,1,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4859,0.5526,0.347,0.0047,0.0111,0.0033,0.0004,0.0132,0.0012,0.0665,0.495,8587,NULL,0.5217,NULL,0.5848,NULL,0.3672,0,0.2297,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.138370919,24300,0.380218357
Snead State Community College,Boaz,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2161,0.8242,0.0551,0.0689,0.0079,0.0222,0.0005,0,0.0014,0.0199,0.2883,3884,NULL,0.5743,NULL,0.5945,NULL,0.398,0.2344,0.2867,4500,49.959225,NULL,NULL,0.322287805,26000,0.391872287
University of South Alabama,Mobile,AL,3,1,12,495,500,470,23,24,22,7,1064,0,11048,0.6374,0.229,0.0246,0.0337,0.0088,0.0018,0.0226,0.0284,0.0137,0.2076,13027,NULL,0.3743,0.6787,NULL,0.3571,NULL,0.5549,0.2343,25000,277.55125,0.701489269,0.350631543,NULL,38300,0.608799994
Spring Hill College,Mobile,AL,3,2,12,540,540,545,24,25,23,7,1100,0,1269,0.6643,0.1608,0.0875,0.0071,0.0063,0,0.0236,0.0134,0.037,0.0504,NULL,18555,0.3328,0.7559,NULL,NULL,NULL,0.6564,0.0712,27000,299.75535,0.811918063,0.588991724,NULL,43800,0.638805985
Southeastern Bible College,Birmingham,AL,3,2,21,NULL,NULL,NULL,21,20,20,NULL,970,0,160,0.625,0.2938,0.0313,0,0.0063,0,0.0063,0.0063,0.0313,0.1875,NULL,12954,0.6089,0.6429,NULL,NULL,NULL,0.7877,0.5466,30083,333.9829702,0.496062992,0.239086957,NULL,28800,0.620689631
Stillman College,Tuscaloosa,AL,3,2,13,400,411,NULL,19,18,17,NULL,882,0,863,0.0626,0.9224,0.0104,0.0023,0,0,0,0,0.0023,0.0637,NULL,17473,0.7429,0.6123,NULL,0.1111,NULL,0.8145,0.0533,38359,425.863536,0.293563579,0.257584545,NULL,24700,0.398734182
Talladega College,Talladega,AL,3,2,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,894,0.0391,0.8949,0.0257,0.0045,0,0.0056,0.0034,0,0.0268,0.0503,NULL,9062,0.9663,0.3285,NULL,0.6667,NULL,0.928,0.1706,32000,355.2656,0.292479109,0.494891525,NULL,25600,0.277777791
H Councill Trenholm State Technical College,Montgomery,AL,1,1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1262,0.4263,0.5523,0.0048,0.0095,0.0008,0,0.0024,0,0.004,0.4374,6067,NULL,0.6097,NULL,0.4979,NULL,0.4045,0,0.456,PrivacySuppressed,PrivacySuppressed,NULL,NULL,0.50624,21000,0.343648195
Troy University,Troy,AL,3,1,41,NULL,NULL,NULL,21,22,21,NULL,990,0,16208,0.4908,0.3672,0.0297,0.0083,0.0081,0.001,0.0201,0.0239,0.051,0.438,11168,NULL,0.4758,0.7389,NULL,0.423,NULL,0.6414,0.5332,26000,288.6533,0.543508214,0.345579703,NULL,36600,0.613958538
Troy University-Phenix City Campus,Phenix City,AL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26000,288.6533,0.543508214,NULL,NULL,36600,0.613958538
Troy University-Montgomery Campus,Montgomery,AL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26000,288.6533,0.543508214,NULL,NULL,36600,0.613958538
Troy University-Dothan Campus,Dothan,AL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26000,288.6533,0.543508214,NULL,NULL,36600,0.613958538
Troy University-eTROY,Troy,AL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26000,288.6533,0.543508214,NULL,NULL,36600,0.613958538
Troy University-Global Campus,Troy,AL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26000,288.6533,0.543508214,NULL,NULL,NULL,NULL
Tuskegee University,Tuskegee,AL,3,2,32,455,460,NULL,20,20,19,NULL,937,0,2584,0.0019,0.7752,0.0019,0.0008,0.0004,0,0,0.0031,0.2167,0.0449,NULL,28909,0.6453,0.7242,NULL,1,NULL,0.7374,0.0368,33250,369.1431625,0.618340611,0.448089488,NULL,37100,0.50160259
United States Sports Academy,Daphne,AL,3,2,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,80,0.2125,0.1125,0.0875,0.025,0,0,0.0125,0,0.55,0.825,NULL,NULL,0.4701,NULL,NULL,NULL,NULL,0.6068,0.4737,30095.5,334.1217458,0.72826087,NULL,NULL,PrivacySuppressed,PrivacySuppressed
Bevill State Community College,Jasper,AL,2,1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3212,0.8032,0.1541,0.014,0.0044,0.0025,0,0.0075,0,0.0143,0.4384,8303,NULL,0.5844,NULL,0.581,NULL,0.3603,0,0.3275,NULL,NULL,NULL,NULL,0.292400356,25900,0.447520941
University of Alaska Anchorage,Anchorage,AK,3,1,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,13116,0.5759,0.0361,0.0735,0.0722,0.0681,0.0085,0.0982,0.0184,0.0491,0.4516,8160,NULL,0.2473,0.7062,NULL,0.5439,NULL,0.286,0.4386,20675,229.5348838,0.747384537,0.255403123,NULL,42000,0.679465055
Alaska Bible College,Palmer,AK,1,2,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,26,0.8846,0,0.0385,0,0.0385,0,0.0385,0,0,0.1923,NULL,9592,0.2182,0.6,NULL,NULL,NULL,0.2,0.4286,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,NULL,NULL,NULL
University of Alaska Fairbanks,Fairbanks,AK,3,1,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5729,0.4486,0.0229,0.0504,0.0133,0.1403,0.0023,0.0424,0.0119,0.2679,0.3795,9372,NULL,0.2349,0.7687,NULL,0.4074,NULL,0.2676,0.4519,20000,222.041,0.695026962,0.30914582,NULL,38200,0.60838443
University of Alaska Southeast,Juneau,AK,3,1,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1488,0.4751,0.0081,0.0551,0.0276,0.1142,0.0155,0.0605,0.0067,0.2372,0.4899,9462,NULL,0.1834,0.7158,NULL,0.5714,NULL,0.209,0.555,19437.5,215.7960969,0.732209738,0.121454656,NULL,39500,0.591331244
Alaska Pacific University,Anchorage,AK,3,2,11,520,480,502,22,21,21,NULL,1008,0,340,0.5441,0.0294,0.0353,0.0176,0.1706,0.0059,0.0971,0,0.1,0.3853,NULL,30891,0.2791,0.6667,NULL,1,NULL,0.4587,0.491,25125,278.9390063,0.768240343,0.463923711,NULL,47400,0.678571403
AVTEC-Alaska's Institute of Technology,Seward,AK,1,1,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1347,0.5702,0.0171,0.0364,0.0082,0.1715,0.0052,0.0431,0,0.1485,0.7765,NULL,NULL,0.1163,NULL,1,NULL,1,0.1447,0.7127,5583,61.98274515,0.770186335,NULL,0.83635007,30100,0.578313231
Charter College-Anchorage,Anchorage,AK,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2191,0.429,0.0374,0.3241,0.0196,0.042,0.0602,0.0612,0,0.0265,0,NULL,17691,0.6598,0.4333,NULL,NULL,NULL,0.4152,0.5472,13000,144.32665,0.515252622,0.34897899,NULL,42000,0.630872488
Prince William Sound Community College,Valdez,AK,2,1,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,134,0.3657,0,0.0672,0,0.0597,0,0.0075,0.0149,0.4851,0.6493,8775,NULL,0.2092,NULL,0.4,NULL,0,0.2015,0.5393,20675,229.5348838,0.747384537,NULL,0.057673077,42000,0.679465055
Alaska Career College,Anchorage,AK,1,3,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,335,0.4,0.1164,0.0806,0.1493,0.1851,0.009,0.0478,0,0.0119,0,NULL,14170,0.6181,NULL,0.8227,NULL,NULL,0.7894,0.5612,9500,105.469475,0.590111643,NULL,0.748726438,30900,0.5686813
